name,abv
Afar,aa
Abkhazian,ab
Achinese,ace
Acoli,ach
Adangme,ada
Adyghe,ady
Avestan,ae
Tunisian Arabic,aeb
Afrikaans,af
Afrihili,afh
Aghem,agq
Ainu,ain
Akan,ak
Akkadian,akk
Alabama,akz
Aleut,ale
Gheg Albanian,aln
Southern Altai,alt
Amarik,am
Aragonese,an
Old English,ang
Angika,anp
Arabik,ar
Modern Standard Arabic,ar_001
Aramaic,arc
Mapuche,arn
Araona,aro
Arapaho,arp
Algerian Arabic,arq
Arawak,arw
Moroccan Arabic,ary
Egyptian Arabic,arz
Assamese,as
Asu,asa
American Sign Language,ase
Asturian,ast
Avaric,av
Kotava,avk
Awadhi,awa
Aymara,ay
Azerbaijani,az
South Azerbaijani,azb
Bashkir,ba
Baluchi,bal
Balinese,ban
Bavarian,bar
Basaa,bas
Bamun,bax
Batak Toba,bbc
Ghomala,bbj
Belarus kasa,be
Beja,bej
Bemba,bem
Betawi,bew
Bena,bez
Bafut,bfd
Badaga,bfq
Bɔlgeria kasa,bg
Bhojpuri,bho
Bislama,bi
Bikol,bik
Bini,bin
Banjar,bjn
Kom,bkm
Siksika,bla
Bambara,bm
Bengali kasa,bn
Tibetan,bo
Bishnupriya,bpy
Bakhtiari,bqi
Breton,br
Braj,bra
Brahui,brh
Bodo,brx
Bosnian,bs
Akoose,bss
Buriat,bua
Buginese,bug
Bulu,bum
Blin,byn
Medumba,byv
Catalan,ca
Caddo,cad
Carib,car
Cayuga,cay
Atsam,cch
Chechen,ce
Cebuano,ceb
Chiga,cgg
Chamorro,ch
Chibcha,chb
Chagatai,chg
Chuukese,chk
Mari,chm
Chinook Jargon,chn
Choctaw,cho
Chipewyan,chp
Cherokee,chr
Cheyenne,chy
Central Kurdish,ckb
Corsican,co
Coptic,cop
Capiznon,cps
Cree,cr
Crimean Turkish,crh
Kyɛk kasa,cs
Kashubian,csb
Church Slavic,cu
Chuvash,cv
Welsh,cy
Danish,da
Dakota,dak
Dargwa,dar
Taita,dav
Gyaaman,de
Austrian German,de_AT
Swiss High German,de_CH
Delaware,del
Slave,den
Dogrib,dgr
Dinka,din
Zarma,dje
Dogri,doi
Lower Sorbian,dsb
Central Dusun,dtp
Duala,dua
Middle Dutch,dum
Divehi,dv
Jola-Fonyi,dyo
Dyula,dyu
Dzongkha,dz
Dazaga,dzg
Embu,ebu
Ewe,ee
Efik,efi
Emilian,egl
Ancient Egyptian,egy
Ekajuk,eka
Greek kasa,el
Elamite,elx
Borɔfo,en
Australian English,en_AU
Canadian English,en_CA
British English,en_GB
American English,en_US
Middle English,enm
Esperanto,eo
Spain kasa,es
Latin American Spanish,es_419
European Spanish,es_ES
Mexican Spanish,es_MX
Central Yupik,esu
Estonian,et
Basque,eu
Ewondo,ewo
Extremaduran,ext
Pɛɛhyia kasa,fa
Fang,fan
Fanti,fat
Fulah,ff
Finnish,fi
Filipino,fil
Tornedalen Finnish,fit
Fijian,fj
Faroese,fo
Fon,fon
Frɛnkye,fr
Canadian French,fr_CA
Swiss French,fr_CH
Cajun French,frc
Middle French,frm
Old French,fro
Arpitan,frp
Northern Frisian,frr
Eastern Frisian,frs
Friulian,fur
Western Frisian,fy
Irish,ga
Ga,gaa
Gagauz,gag
Gan Chinese,gan
Gayo,gay
Gbaya,gba
